#    L    TT             EE             TE             PP             TP          
    75    0.19375E+04    0.37593E+00   -0.80183E+01    0.50262E+07    0.91782E+04
    76    0.19627E+04    0.38932E+00   -0.85099E+01    0.49963E+07    0.90479E+04
    77    0.19883E+04    0.40289E+00   -0.90120E+01    0.49664E+07    0.89199E+04
    78    0.20142E+04    0.41664E+00   -0.95260E+01    0.49365E+07    0.87937E+04
    79    0.20403E+04    0.43053E+00   -0.10048E+02    0.49065E+07    0.86687E+04
    80    0.20667E+04    0.44455E+00   -0.10579E+02    0.48765E+07    0.85443E+04
    81    0.20932E+04    0.45867E+00   -0.11121E+02    0.48466E+07    0.84201E+04
    82    0.21200E+04    0.47289E+00   -0.11671E+02    0.48166E+07    0.82967E+04
    83    0.21470E+04    0.48720E+00   -0.12230E+02    0.47868E+07    0.81747E+04
    84    0.21742E+04    0.50158E+00   -0.12795E+02    0.47569E+07    0.80550E+04
    85    0.22016E+04    0.51603E+00   -0.13367E+02    0.47272E+07    0.79382E+04
    86    0.22292E+04    0.53054E+00   -0.13946E+02    0.46975E+07    0.78249E+04
    87    0.22571E+04    0.54510E+00   -0.14531E+02    0.46679E+07    0.77150E+04
    88    0.22851E+04    0.55970E+00   -0.15121E+02    0.46385E+07    0.76084E+04
    89    0.23134E+04    0.57435E+00   -0.15719E+02    0.46091E+07    0.75047E+04
    90    0.23419E+04    0.58900E+00   -0.16322E+02    0.45799E+07    0.74036E+04
    91    0.23706E+04    0.60364E+00   -0.16929E+02    0.45507E+07    0.73051E+04
    92    0.23995E+04    0.61826E+00   -0.17542E+02    0.45217E+07    0.72089E+04
    93    0.24288E+04    0.63286E+00   -0.18159E+02    0.44928E+07    0.71150E+04
    94    0.24580E+04    0.64739E+00   -0.18779E+02    0.44641E+07    0.70233E+04
    95    0.24876E+04    0.66186E+00   -0.19404E+02    0.44354E+07    0.69338E+04
    96    0.25172E+04    0.67625E+00   -0.20031E+02    0.44070E+07    0.68463E+04
    97    0.25472E+04    0.69056E+00   -0.20662E+02    0.43786E+07    0.67608E+04
    98    0.25774E+04    0.70477E+00   -0.21292E+02    0.43504E+07    0.66772E+04
    99    0.26076E+04    0.71884E+00   -0.21926E+02    0.43224E+07    0.65954E+04
   100    0.26382E+04    0.73278E+00   -0.22560E+02    0.42944E+07    0.65154E+04
   101    0.26689E+04    0.74665E+00   -0.23195E+02    0.42667E+07    0.64371E+04
   102    0.27001E+04    0.76030E+00   -0.23830E+02    0.42391E+07    0.63603E+04
   103    0.27312E+04    0.77380E+00   -0.24465E+02    0.42116E+07    0.62850E+04
   104    0.27626E+04    0.78716E+00   -0.25098E+02    0.41843E+07    0.62112E+04
   105    0.27941E+04    0.80030E+00   -0.25730E+02    0.41572E+07    0.61388E+04
   106    0.28258E+04    0.81330E+00   -0.26361E+02    0.41303E+07    0.60676E+04
   107    0.28574E+04    0.82601E+00   -0.26989E+02    0.41035E+07    0.59976E+04
   108    0.28894E+04    0.83850E+00   -0.27614E+02    0.40769E+07    0.59287E+04
   109    0.29216E+04    0.85070E+00   -0.28236E+02    0.40504E+07    0.58609E+04
   110    0.29538E+04    0.86261E+00   -0.28853E+02    0.40242E+07    0.57941E+04
   111    0.29862E+04    0.87431E+00   -0.29466E+02    0.39981E+07    0.57281E+04
   112    0.30187E+04    0.88572E+00   -0.30075E+02    0.39722E+07    0.56631E+04
   113    0.30515E+04    0.89685E+00   -0.30678E+02    0.39465E+07    0.55989E+04
   114    0.30843E+04    0.90761E+00   -0.31274E+02    0.39210E+07    0.55357E+04
   115    0.31173E+04    0.91816E+00   -0.31863E+02    0.38956E+07    0.54733E+04
   116    0.31503E+04    0.92828E+00   -0.32446E+02    0.38705E+07    0.54118E+04
   117    0.31837E+04    0.93803E+00   -0.33020E+02    0.38455E+07    0.53512E+04
   118    0.32171E+04    0.94758E+00   -0.33586E+02    0.38207E+07    0.52915E+04
   119    0.32506E+04    0.95676E+00   -0.34143E+02    0.37961E+07    0.52327E+04
   120    0.32842E+04    0.96544E+00   -0.34690E+02    0.37716E+07    0.51748E+04
   121    0.33178E+04    0.97390E+00   -0.35228E+02    0.37474E+07    0.51178E+04
   122    0.33514E+04    0.98186E+00   -0.35754E+02    0.37233E+07    0.50617E+04
   123    0.33851E+04    0.98939E+00   -0.36271E+02    0.36995E+07    0.50065E+04
   124    0.34189E+04    0.99656E+00   -0.36774E+02    0.36758E+07    0.49521E+04
   125    0.34526E+04    0.10033E+01   -0.37266E+02    0.36523E+07    0.48987E+04
   126    0.34865E+04    0.10097E+01   -0.37745E+02    0.36289E+07    0.48462E+04
   127    0.35203E+04    0.10155E+01   -0.38212E+02    0.36058E+07    0.47946E+04
   128    0.35541E+04    0.10211E+01   -0.38665E+02    0.35828E+07    0.47438E+04
