#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.12451E+04    0.13726E+01    0.22696E-04    0.13726E+01    0.69510E-01   -0.34743E-08    0.22696E-04   -0.34743E-08    0.68965E-10
    44    0.12635E+04    0.12736E+01    0.21703E-04    0.12736E+01    0.75017E-01   -0.23680E-08    0.21703E-04   -0.23680E-08    0.65686E-10
    45    0.12822E+04    0.11603E+01    0.20770E-04    0.11603E+01    0.80772E-01   -0.22192E-08    0.20770E-04   -0.22192E-08    0.62614E-10
    46    0.13012E+04    0.10298E+01    0.19895E-04    0.10298E+01    0.86771E-01   -0.32331E-08    0.19895E-04   -0.32331E-08    0.59730E-10
    47    0.13203E+04    0.88364E+00    0.19073E-04    0.88364E+00    0.93017E-01   -0.51157E-08    0.19073E-04   -0.51157E-08    0.57020E-10
    48    0.13395E+04    0.72763E+00    0.18297E-04    0.72763E+00    0.99521E-01   -0.74482E-08    0.18297E-04   -0.74482E-08    0.54474E-10
    49    0.13589E+04    0.56679E+00    0.17563E-04    0.56679E+00    0.10627E+00   -0.98118E-08    0.17563E-04   -0.98118E-08    0.52077E-10
    50    0.13787E+04    0.39941E+00    0.16865E-04    0.39941E+00    0.11325E+00   -0.11788E-07    0.16865E-04   -0.11788E-07    0.49820E-10
    51    0.13987E+04    0.22195E+00    0.16197E-04    0.22195E+00    0.12044E+00   -0.13051E-07    0.16197E-04   -0.13051E-07    0.47691E-10
    52    0.14190E+04    0.29183E-01    0.15561E-04    0.29183E-01    0.12791E+00   -0.13647E-07    0.15561E-04   -0.13647E-07    0.45681E-10
    53    0.14394E+04   -0.18268E+00    0.14956E-04   -0.18268E+00    0.13581E+00   -0.13717E-07    0.14956E-04   -0.13717E-07    0.43782E-10
    54    0.14597E+04   -0.40945E+00    0.14386E-04   -0.40945E+00    0.14413E+00   -0.13401E-07    0.14386E-04   -0.13401E-07    0.41987E-10
    55    0.14801E+04   -0.64685E+00    0.13850E-04   -0.64685E+00    0.15284E+00   -0.12839E-07    0.13850E-04   -0.12839E-07    0.40289E-10
    56    0.15009E+04   -0.89667E+00    0.13349E-04   -0.89667E+00    0.16179E+00   -0.12152E-07    0.13349E-04   -0.12152E-07    0.38680E-10
    57    0.15220E+04   -0.11587E+01    0.12881E-04   -0.11587E+01    0.17088E+00   -0.11389E-07    0.12881E-04   -0.11389E-07    0.37154E-10
    58    0.15433E+04   -0.14336E+01    0.12439E-04   -0.14336E+01    0.18012E+00   -0.10581E-07    0.12439E-04   -0.10581E-07    0.35707E-10
    59    0.15649E+04   -0.17219E+01    0.12022E-04   -0.17219E+01    0.18955E+00   -0.97567E-08    0.12022E-04   -0.97567E-08    0.34333E-10
    60    0.15865E+04   -0.20228E+01    0.11623E-04   -0.20228E+01    0.19922E+00   -0.89470E-08    0.11623E-04   -0.89470E-08    0.33028E-10
    61    0.16087E+04   -0.23353E+01    0.11241E-04   -0.23353E+01    0.20924E+00   -0.81810E-08    0.11241E-04   -0.81810E-08    0.31786E-10
    62    0.16307E+04   -0.26604E+01    0.10873E-04   -0.26604E+01    0.21959E+00   -0.74844E-08    0.10873E-04   -0.74844E-08    0.30605E-10
    63    0.16529E+04   -0.29992E+01    0.10518E-04   -0.29992E+01    0.23023E+00   -0.68818E-08    0.10518E-04   -0.68818E-08    0.29481E-10
    64    0.16754E+04   -0.33530E+01    0.10176E-04   -0.33530E+01    0.24116E+00   -0.63980E-08    0.10176E-04   -0.63980E-08    0.28410E-10
    65    0.16980E+04   -0.37225E+01    0.98460E-05   -0.37225E+01    0.25235E+00   -0.60576E-08    0.98460E-05   -0.60576E-08    0.27390E-10
    66    0.17209E+04   -0.41058E+01    0.95268E-05   -0.41058E+01    0.26375E+00   -0.58826E-08    0.95268E-05   -0.58826E-08    0.26417E-10
    67    0.17439E+04   -0.45002E+01    0.92194E-05   -0.45002E+01    0.27535E+00   -0.58846E-08    0.92194E-05   -0.58846E-08    0.25488E-10
    68    0.17674E+04   -0.49039E+01    0.89247E-05   -0.49039E+01    0.28719E+00   -0.60720E-08    0.89247E-05   -0.60720E-08    0.24602E-10
    69    0.17911E+04   -0.53150E+01    0.86435E-05   -0.53150E+01    0.29923E+00   -0.64538E-08    0.86435E-05   -0.64538E-08    0.23756E-10
    70    0.18151E+04   -0.57350E+01    0.83769E-05   -0.57350E+01    0.31151E+00   -0.70386E-08    0.83769E-05   -0.70386E-08    0.22947E-10
    71    0.18392E+04   -0.61662E+01    0.81252E-05   -0.61662E+01    0.32403E+00   -0.78093E-08    0.81252E-05   -0.78093E-08    0.22174E-10
    72    0.18635E+04   -0.66101E+01    0.78874E-05   -0.66101E+01    0.33675E+00   -0.86452E-08    0.78874E-05   -0.86452E-08    0.21435E-10
    73    0.18879E+04   -0.70674E+01    0.76619E-05   -0.70674E+01    0.34964E+00   -0.94000E-08    0.76619E-05   -0.94000E-08    0.20727E-10
    74    0.19126E+04   -0.75372E+01    0.74470E-05   -0.75372E+01    0.36270E+00   -0.99270E-08    0.74470E-05   -0.99270E-08    0.20049E-10
    75    0.19375E+04   -0.80183E+01    0.72414E-05   -0.80183E+01    0.37593E+00   -0.10080E-07    0.72414E-05   -0.10080E-07    0.19400E-10
    76    0.19627E+04   -0.85099E+01    0.70435E-05   -0.85099E+01    0.38932E+00   -0.97643E-08    0.70435E-05   -0.97643E-08    0.18777E-10
    77    0.19883E+04   -0.90120E+01    0.68525E-05   -0.90120E+01    0.40289E+00   -0.90954E-08    0.68525E-05   -0.90954E-08    0.18180E-10
    78    0.20142E+04   -0.95260E+01    0.66678E-05   -0.95260E+01    0.41664E+00   -0.82401E-08    0.66678E-05   -0.82401E-08    0.17607E-10
    79    0.20403E+04   -0.10048E+02    0.64888E-05   -0.10048E+02    0.43053E+00   -0.73658E-08    0.64888E-05   -0.73658E-08    0.17057E-10
    80    0.20667E+04   -0.10579E+02    0.63148E-05   -0.10579E+02    0.44455E+00   -0.66397E-08    0.63148E-05   -0.66397E-08    0.16529E-10
    81    0.20932E+04   -0.11121E+02    0.61453E-05   -0.11121E+02    0.45867E+00   -0.61948E-08    0.61453E-05   -0.61948E-08    0.16022E-10
    82    0.21200E+04   -0.11671E+02    0.59804E-05   -0.11671E+02    0.47289E+00   -0.60275E-08    0.59804E-05   -0.60275E-08    0.15535E-10
    83    0.21470E+04   -0.12230E+02    0.58207E-05   -0.12230E+02    0.48720E+00   -0.61003E-08    0.58207E-05   -0.61003E-08    0.15066E-10
    84    0.21742E+04   -0.12795E+02    0.56663E-05   -0.12795E+02    0.50158E+00   -0.63753E-08    0.56663E-05   -0.63753E-08    0.14616E-10
    85    0.22016E+04   -0.13367E+02    0.55177E-05   -0.13367E+02    0.51603E+00   -0.68149E-08    0.55177E-05   -0.68149E-08    0.14183E-10
    86    0.22292E+04   -0.13946E+02    0.53750E-05   -0.13946E+02    0.53054E+00   -0.73788E-08    0.53750E-05   -0.73788E-08    0.13767E-10
    87    0.22571E+04   -0.14531E+02    0.52380E-05   -0.14531E+02    0.54510E+00   -0.80164E-08    0.52380E-05   -0.80164E-08    0.13366E-10
    88    0.22851E+04   -0.15121E+02    0.51062E-05   -0.15121E+02    0.55970E+00   -0.86741E-08    0.51062E-05   -0.86741E-08    0.12980E-10
    89    0.23134E+04   -0.15719E+02    0.49794E-05   -0.15719E+02    0.57435E+00   -0.92988E-08    0.49794E-05   -0.92988E-08    0.12608E-10
    90    0.23419E+04   -0.16322E+02    0.48571E-05   -0.16322E+02    0.58900E+00   -0.98370E-08    0.48571E-05   -0.98370E-08    0.12249E-10
    91    0.23706E+04   -0.16929E+02    0.47389E-05   -0.16929E+02    0.60364E+00   -0.10246E-07    0.47389E-05   -0.10246E-07    0.11902E-10
    92    0.23995E+04   -0.17542E+02    0.46247E-05   -0.17542E+02    0.61826E+00   -0.10526E-07    0.46247E-05   -0.10526E-07    0.11568E-10
    93    0.24288E+04   -0.18159E+02    0.45144E-05   -0.18159E+02    0.63286E+00   -0.10686E-07    0.45144E-05   -0.10686E-07    0.11245E-10
    94    0.24580E+04   -0.18779E+02    0.44077E-05   -0.18779E+02    0.64739E+00   -0.10737E-07    0.44077E-05   -0.10737E-07    0.10933E-10
    95    0.24876E+04   -0.19404E+02    0.43047E-05   -0.19404E+02    0.66186E+00   -0.10689E-07    0.43047E-05   -0.10689E-07    0.10633E-10
    96    0.25172E+04   -0.20031E+02    0.42052E-05   -0.20031E+02    0.67625E+00   -0.10552E-07    0.42052E-05   -0.10552E-07    0.10343E-10
    97    0.25472E+04   -0.20662E+02    0.41090E-05   -0.20662E+02    0.69056E+00   -0.10337E-07    0.41090E-05   -0.10337E-07    0.10063E-10
    98    0.25774E+04   -0.21292E+02    0.40160E-05   -0.21292E+02    0.70477E+00   -0.10053E-07    0.40160E-05   -0.10053E-07    0.97928E-11
    99    0.26076E+04   -0.21926E+02    0.39260E-05   -0.21926E+02    0.71884E+00   -0.97111E-08    0.39260E-05   -0.97111E-08    0.95322E-11
   100    0.26382E+04   -0.22560E+02    0.38391E-05   -0.22560E+02    0.73278E+00   -0.93213E-08    0.38391E-05   -0.93213E-08    0.92808E-11
   101    0.26689E+04   -0.23195E+02    0.37549E-05   -0.23195E+02    0.74665E+00   -0.88936E-08    0.37549E-05   -0.88936E-08    0.90382E-11
   102    0.27001E+04   -0.23830E+02    0.36735E-05   -0.23830E+02    0.76030E+00   -0.84384E-08    0.36735E-05   -0.84384E-08    0.88039E-11
   103    0.27312E+04   -0.24465E+02    0.35946E-05   -0.24465E+02    0.77380E+00   -0.79659E-08    0.35946E-05   -0.79659E-08    0.85778E-11
   104    0.27626E+04   -0.25098E+02    0.35182E-05   -0.25098E+02    0.78716E+00   -0.74861E-08    0.35182E-05   -0.74861E-08    0.83593E-11
   105    0.27941E+04   -0.25730E+02    0.34441E-05   -0.25730E+02    0.80030E+00   -0.70093E-08    0.34441E-05   -0.70093E-08    0.81482E-11
   106    0.28258E+04   -0.26361E+02    0.33722E-05   -0.26361E+02    0.81330E+00   -0.65458E-08    0.33722E-05   -0.65458E-08    0.79441E-11
   107    0.28574E+04   -0.26989E+02    0.33023E-05   -0.26989E+02    0.82601E+00   -0.61056E-08    0.33023E-05   -0.61056E-08    0.77466E-11
   108    0.28894E+04   -0.27614E+02    0.32344E-05   -0.27614E+02    0.83850E+00   -0.56991E-08    0.32344E-05   -0.56991E-08    0.75554E-11
   109    0.29216E+04   -0.28236E+02    0.31683E-05   -0.28236E+02    0.85070E+00   -0.53364E-08    0.31683E-05   -0.53364E-08    0.73701E-11
   110    0.29538E+04   -0.28853E+02    0.31038E-05   -0.28853E+02    0.86261E+00   -0.50277E-08    0.31038E-05   -0.50277E-08    0.71903E-11
   111    0.29862E+04   -0.29466E+02    0.30409E-05   -0.29466E+02    0.87431E+00   -0.47807E-08    0.30409E-05   -0.47807E-08    0.70158E-11
   112    0.30187E+04   -0.30075E+02    0.29796E-05   -0.30075E+02    0.88572E+00   -0.45934E-08    0.29796E-05   -0.45934E-08    0.68464E-11
   113    0.30515E+04   -0.30678E+02    0.29197E-05   -0.30678E+02    0.89685E+00   -0.44612E-08    0.29197E-05   -0.44612E-08    0.66820E-11
   114    0.30843E+04   -0.31274E+02    0.28613E-05   -0.31274E+02    0.90761E+00   -0.43795E-08    0.28613E-05   -0.43795E-08    0.65223E-11
   115    0.31173E+04   -0.31863E+02    0.28043E-05   -0.31863E+02    0.91816E+00   -0.43437E-08    0.28043E-05   -0.43437E-08    0.63673E-11
   116    0.31503E+04   -0.32446E+02    0.27487E-05   -0.32446E+02    0.92828E+00   -0.43493E-08    0.27487E-05   -0.43493E-08    0.62169E-11
   117    0.31837E+04   -0.33020E+02    0.26945E-05   -0.33020E+02    0.93803E+00   -0.43918E-08    0.26945E-05   -0.43918E-08    0.60710E-11
   118    0.32171E+04   -0.33586E+02    0.26417E-05   -0.33586E+02    0.94758E+00   -0.44666E-08    0.26417E-05   -0.44666E-08    0.59293E-11
   119    0.32506E+04   -0.34143E+02    0.25901E-05   -0.34143E+02    0.95676E+00   -0.45690E-08    0.25901E-05   -0.45690E-08    0.57919E-11
   120    0.32842E+04   -0.34690E+02    0.25399E-05   -0.34690E+02    0.96544E+00   -0.46946E-08    0.25399E-05   -0.46946E-08    0.56584E-11
   121    0.33178E+04   -0.35228E+02    0.24909E-05   -0.35228E+02    0.97390E+00   -0.48388E-08    0.24909E-05   -0.48388E-08    0.55290E-11
   122    0.33514E+04   -0.35754E+02    0.24432E-05   -0.35754E+02    0.98186E+00   -0.49970E-08    0.24432E-05   -0.49970E-08    0.54033E-11
   123    0.33851E+04   -0.36271E+02    0.23967E-05   -0.36271E+02    0.98939E+00   -0.51647E-08    0.23967E-05   -0.51647E-08    0.52812E-11
   124    0.34189E+04   -0.36774E+02    0.23514E-05   -0.36774E+02    0.99656E+00   -0.53373E-08    0.23514E-05   -0.53373E-08    0.51628E-11
   125    0.34526E+04   -0.37266E+02    0.23072E-05   -0.37266E+02    0.10033E+01   -0.55102E-08    0.23072E-05   -0.55102E-08    0.50477E-11
   126    0.34865E+04   -0.37745E+02    0.22641E-05   -0.37745E+02    0.10097E+01   -0.56789E-08    0.22641E-05   -0.56789E-08    0.49359E-11
   127    0.35203E+04   -0.38212E+02    0.22222E-05   -0.38212E+02    0.10155E+01   -0.58388E-08    0.22222E-05   -0.58388E-08    0.48273E-11
   128    0.35541E+04   -0.38665E+02    0.21813E-05   -0.38665E+02    0.10211E+01   -0.59854E-08    0.21813E-05   -0.59854E-08    0.47217E-11
   129    0.35879E+04   -0.39104E+02    0.21414E-05   -0.39104E+02    0.10261E+01   -0.61141E-08    0.21414E-05   -0.61141E-08    0.46191E-11
   130    0.36217E+04   -0.39528E+02    0.21026E-05   -0.39528E+02    0.10306E+01   -0.62203E-08    0.21026E-05   -0.62203E-08    0.45192E-11
